item_id,sku,item_name,item_cat,item_size,item_price
It032,HDR-KRM-LG,"Karamel Makiyato","Sıcak İçecekler",Büyük,4.60
It033,HDR-SCK-MD,"Sıcak Çikolata","Sıcak İçecekler",Orta,4.20
It034,HDR-SCK-LG,"Sıcak Çikolata","Sıcak İçecekler",Büyük,4.60
It035,HDR-SLP-MD,"Salep","Sıcak İçecekler",Orta,3.85
It036,HDR-ADA-MD,"Adaçayı","Sıcak İçecekler",Orta,3.15
It037,HDR-ILM-MD,"Ihlamur","Sıcak İçecekler",Orta,3.25
It038,HDR-CKK-MD,"Kakao","Sıcak İçecekler",Orta,3.60
It039,HDR-KKR-MD,"Kremalı Kahve","Sıcak İçecekler",Orta,3.55
It040,HDR-SUT-MD,"Sütlü Kahve","Sıcak İçecekler",Orta,3.40
It041,CDR-BUZ-MD,"Buzlu Kahve","Soğuk İçecekler",Orta,3.45
It042,CDR-BUZ-LG,"Buzlu Kahve","Soğuk İçecekler",Büyük,3.75
It043,CDR-LMN-MD,"Limonata","Soğuk İçecekler",Orta,3.35
It044,CDR-LMN-LG,"Limonata","Soğuk İçecekler",Büyük,3.75
It045,CDR-CLM-MD,"Cool Lime","Soğuk İçecekler",Orta,3.65
It046,CDR-CLM-LG,"Cool Lime","Soğuk İçecekler",Büyük,3.95
It047,CDR-CKT-MD,"Çikolatalı Soğuk Kahve","Soğuk İçecekler",Orta,4.00
It048,CDR-CKT-LG,"Çikolatalı Soğuk Kahve","Soğuk İçecekler",Büyük,4.60
It049,CDR-PRT-MD,"Portakal Suyu","Soğuk İçecekler",Orta,3.75
It050,CDR-PRT-LG,"Portakal Suyu","Soğuk İçecekler",Büyük,4.05
It051,CDR-ELM-MD,"Elma Suyu","Soğuk İçecekler",Orta,3.65
It052,CDR-KAY-MD,"Kayısı Suyu","Soğuk İçecekler",Orta,3.70
It053,CDR-KIR-MD,"Kırmızı Meyve Suyu","Soğuk İçecekler",Orta,4.10
It054,CDR-STR-MD,"Çilekli Smoothie","Soğuk İçecekler",Orta,4.40
It055,CDR-MUZ-MD,"Muzlu Smoothie","Soğuk İçecekler",Orta,4.30
It056,CDR-MNG-MD,"Mangolu Smoothie","Soğuk İçecekler",Orta,4.50
It057,SNK-CHB,"Brownie","Atıştırmalıklar",Yok,3.50
It058,SNK-KCK,"Kek","Atıştırmalıklar",Yok,3.10
It059,SNK-PZG,"Peynirli Poğaça","Atıştırmalıklar",Yok,3.20
It060,SNK-SVD,"Sosisli Sandviç","Atıştırmalıklar",Yok,5.40
It061,SNK-SHK,"Sucuklu Sandviç","Atıştırmalıklar",Yok,5.70
It062,SNK-YMS,"Yağsız Muffin","Atıştırmalıklar",Yok,2.90
It063,SNK-CHC,"Çikolatalı Muffin","Atıştırmalıklar",Yok,3.00
It064,SNK-MFL,"Mini Fırınlı Lahmacun","Atıştırmalıklar",Yok,5.60
It065,SNK-BOY,"Boyoz","Atıştırmalıklar",Yok,3.15
It066,SNK-ACM,"Açma","Atıştırmalıklar",Yok,2.85
It067,SNK-KRU,"Kruvasan","Atıştırmalıklar",Yok,3.20
It068,SNK-SMT,"Simit","Atıştırmalıklar",Yok,2.50
It069,SNK-PZT,"Mini Pizza","Atıştırmalıklar",Yok,4.10
It070,SNK-MLK,"Milföy Börek","Atıştırmalıklar",Yok,4.25
It071,SNK-KMP,"Kumpir","Atıştırmalıklar",Yok,6.20
It072,SNK-MBR,"Mini Burger","Atıştırmalıklar",Yok,5.80
It073,SNK-TST,"Karışık Tost","Atıştırmalıklar",Yok,5.90
It074,SNK-PST,"Patatesli Börek","Atıştırmalıklar",Yok,4.00
It075,SNK-SDL,"Sade Dondurma","Atıştırmalıklar",Yok,3.85
It076,SNK-CKD,"Çilekli Dondurma","Atıştırmalıklar",Yok,4.00
It077,SNK-KKD,"Kakaolu Dondurma","Atıştırmalıklar",Yok,4.00
It078,SNK-MYD,"Meyveli Dondurma","Atıştırmalıklar",Yok,4.20
It079,HDR-SLM-MD,"Salep","Sıcak İçecekler",Orta,3.85
It080,HDR-SLM-LG,"Salep","Sıcak İçecekler",Büyük,4.10
It081,HDR-ADA-LG,"Adaçayı","Sıcak İçecekler",Büyük,3.45
It082,HDR-ILM-LG,"Ihlamur","Sıcak İçecekler",Büyük,3.55
It083,HDR-ZNG-MD,"Zencefil Çayı","Sıcak İçecekler",Orta,3.75
It084,HDR-KMR-MD,"Kış Çayı","Sıcak İçecekler",Orta,3.85
It085,HDR-YSM-MD,"Yeşil Çay","Sıcak İçecekler",Orta,3.35
It086,HDR-YSM-LG,"Yeşil Çay","Sıcak İçecekler",Büyük,3.55
It087,HDR-KKJ-MD,"Kekik Çayı","Sıcak İçecekler",Orta,3.25
It088,HDR-NNL-MD,"Naneli Çay","Sıcak İçecekler",Orta,3.20
It089,HDR-TML-MD,"Tarçınlı Latte","Sıcak İçecekler",Orta,4.30
It090,HDR-TML-LG,"Tarçınlı Latte","Sıcak İçecekler",Büyük,4.60
It091,HDR-KKR-LG,"Kakao","Sıcak İçecekler",Büyük,3.80
It092,HDR-TRM-MD,"Tiramisu Latte","Sıcak İçecekler",Orta,4.50
It093,HDR-BDR-MD,"Bal-Darçınlı Kahve","Sıcak İçecekler",Orta,4.40
It094,HDR-FTN-MD,"Fındıklı Kahve","Sıcak İçecekler",Orta,4.35
It095,CDR-YFR-MD,"Yaban Mersinli Frappe","Soğuk İçecekler",Orta,4.70
It096,CDR-KRM-MD,"Karamelli Frappe","Soğuk İçecekler",Orta,4.80
It097,CDR-VNL-MD,"Vanilyalı Milkshake","Soğuk İçecekler",Orta,4.55
It098,CDR-VNL-LG,"Vanilyalı Milkshake","Soğuk İçecekler",Büyük,4.85
It099,CDR-STR-LG,"Çilekli Milkshake","Soğuk İçecekler",Büyük,4.85
It100,SNK-BKL,"Baklava","Atıştırmalıklar",Yok,4.90
It101,SNK-KNR,"Künefe","Atıştırmalıklar",Yok,5.50
It102,SNK-SKL,"Şöbiyet","Atıştırmalıklar",Yok,5.20
It103,SNK-TLZ,"Tulumba Tatlısı","Atıştırmalıklar",Yok,4.80
It104,SNK-SNT,"Sütlaç","Atıştırmalıklar",Yok,4.60
It105,SNK-KSK,"Kazandibi","Atıştırmalıklar",Yok,4.75
It106,SNK-AYV,"Aşure","Atıştırmalıklar",Yok,5.00
It107,SNK-KRM,"Krem Karamel","Atıştırmalıklar",Yok,4.55
It108,SNK-PST,"Pasta Dilimi","Atıştırmalıklar",Yok,4.95
It109,SNK-MCL,"Mozaik Pasta","Atıştırmalıklar",Yok,4.85
It110,SNK-CKK,"Çikolatalı Kurabiye","Atıştırmalıklar",Yok,3.10
It111,SNK-VNL,"Vanilyalı Kurabiye","Atıştırmalıklar",Yok,3.00
It112,SNK-KRMK,"Kremalı Kurabiye","Atıştırmalıklar",Yok,3.20
It113,SNK-CRK,"Krakers","Atıştırmalıklar",Yok,2.80
It114,SNK-FRT,"Meyve Salatası","Atıştırmalıklar",Yok,4.60
It115,SNK-YGH,"Yoğurtlu Parfe","Atıştırmalıklar",Yok,4.70
It116,HDR-TKH-XL,"Türk Kahvesi","Sıcak İçecekler",Büyük,3.85
It117,HDR-SLT-MD,"Sade Latte","Sıcak İçecekler",Orta,3.40
It118,HDR-SLT-LG,"Sade Latte","Sıcak İçecekler",Büyük,3.75
It119,HDR-MOK-MD,"Mokha","Sıcak İçecekler",Orta,4.10
It120,HDR-MOK-LG,"Mokha","Sıcak İçecekler",Büyük,4.50
It121,HDR-MKH-MD,"Mekan Latte","Sıcak İçecekler",Orta,4.00
It122,CDR-PRT-XL,"Portakal Suyu","Soğuk İçecekler",Büyük,4.35
It123,CDR-MND-MD,"Mandarin Suyu","Soğuk İçecekler",Orta,3.90
It124,CDR-MND-LG,"Mandarin Suyu","Soğuk İçecekler",Büyük,4.15
It125,CDR-LMN-XL,"Limonata","Soğuk İçecekler",Büyük,4.00
It126,SNK-KIS,"Kısır","Atıştırmalıklar",Yok,3.85
It127,SNK-CGS,"Cevizli Gözleme","Atıştırmalıklar",Yok,5.25
It128,SNK-PNR,"Peynirli Gözleme","Atıştırmalıklar",Yok,5.20
It129,SNK-SPN,"Ispanaklı Börek","Atıştırmalıklar",Yok,4.10
It130,SNK-KYM,"Kıymalı Börek","Atıştırmalıklar",Yok,4.30
It131,SNK-KML,"Kumpir Mini","Atıştırmalıklar",Yok,4.90
It132,SNK-TSTK,"Tavuklu Sandviç","Atıştırmalıklar",Yok,5.60
It133,SNK-BLK,"Balıklı Sandviç","Atıştırmalıklar",Yok,5.80
It134,SNK-KVR,"Kavurmalı Tost","Atıştırmalıklar",Yok,6.10
It135,SNK-PLV,"Pilav Üzeri Tavuk","Atıştırmalıklar",Yok,7.00
It136,SNK-MKR,"Makarna","Atıştırmalıklar",Yok,6.00
It137,HDR-KKR-XL,"Kakao","Sıcak İçecekler",Büyük,3.95
It138,HDR-TRC-MD,"Tarçınlı Kahve","Sıcak İçecekler",Orta,3.85
It139,HDR-TRC-LG,"Tarçınlı Kahve","Sıcak İçecekler",Büyük,4.10
It140,HDR-ZDR-MD,"Zerdeçal Latte","Sıcak İçecekler",Orta,4.45
It141,HDR-ZDR-LG,"Zerdeçal Latte","Sıcak İçecekler",Büyük,4.75
It142,CDR-SLT-MD,"Soğuk Latte","Soğuk İçecekler",Orta,3.80
It143,CDR-SLT-LG,"Soğuk Latte","Soğuk İçecekler",Büyük,4.10
It144,CDR-KFR-MD,"Kahveli Frappe","Soğuk İçecekler",Orta,4.40
It145,CDR-KFR-LG,"Kahveli Frappe","Soğuk İçecekler",Büyük,4.70
It146,SNK-DNR,"Döner Dürüm","Atıştırmalıklar",Yok,7.20
It147,SNK-KSP,"Kumpir Spesiyal","Atıştırmalıklar",Yok,7.80
It148,SNK-TAV,"Tavuk Salatası","Atıştırmalıklar",Yok,6.50
It149,SNK-TNL,"Ton Balıklı Salata","Atıştırmalıklar",Yok,6.70
It150,SNK-AVK,"Avokadolu Tost","Atıştırmalıklar",Yok,5.90
It151,SNK-YGS,"Yoğurtlu Sos","Atıştırmalıklar",Yok,2.50
It152,SNK-KMS,"Krem Şanti","Atıştırmalıklar",Yok,2.40
It153,SNK-MKR,"Makarna Soslu","Atıştırmalıklar",Yok,6.10
It154,SNK-MNZ,"Menemen","Atıştırmalıklar",Yok,5.50
It155,SNK-YUM,"Omlet","Atıştırmalıklar",Yok,5.40
It156,HDR-ESP-TR,"Espresso","Sıcak İçecekler",Yok,2.20
It157,HDR-AMR-MD,"Americano","Sıcak İçecekler",Orta,3.10
It158,HDR-AMR-LG,"Americano","Sıcak İçecekler",Büyük,3.40
It159,HDR-DPL,"Doppio","Sıcak İçecekler",Yok,2.90
It160,HDR-RST,"Ristretto","Sıcak İçecekler",Yok,2.70
It161,HDR-MAC,"Macchiato","Sıcak İçecekler",Yok,3.15
It162,HDR-CRT,"Cortado","Sıcak İçecekler",Yok,3.25
It163,HDR-FLT-TR,"Flat White","Sıcak İçecekler",Yok,3.20
It164,HDR-CLT,"Café Latte","Sıcak İçecekler",Orta,3.50
It165,CDR-SHD,"Soğuk Demleme Kahve","Soğuk İçecekler",Yok,3.75
It166,CDR-NTR,"Nitro Coffee","Soğuk İçecekler",Yok,4.40
It167,CDR-KRS,"Karpuzlu İçecek","Soğuk İçecekler",Orta,4.00
It168,CDR-ANR,"Ananaslı İçecek","Soğuk İçecekler",Orta,4.10
It169,CDR-YBL,"Yaban Mersinli Smoothie","Soğuk İçecekler",Orta,4.60
It170,CDR-KVW,"Kivi Smoothie","Soğuk İçecekler",Orta,4.55
It171,CDR-MVY,"Meyve Suyu Karışık","Soğuk İçecekler",Büyük,4.30
It172,SNK-SND,"Sandviç Karışık","Atıştırmalıklar",Yok,5.70
It173,SNK-MBRG,"Mini Burger Menü","Atıştırmalıklar",Yok,6.10
It174,SNK-SKP,"Soslu Kraker","Atıştırmalıklar",Yok,3.50
It175,SNK-MFR,"Meyve Frambuazlı Tart","Atıştırmalıklar",Yok,4.80
It176,SNK-CLK,"Çilekli Kek","Atıştırmalıklar",Yok,3.90
It177,SNK-KRMK,"Kremalı Kek","Atıştırmalıklar",Yok,4.00
It178,SNK-VNK,"Vanilyalı Kek","Atıştırmalıklar",Yok,3.80
It179,SNK-KZL,"Kızarmış Patates","Atıştırmalıklar",Yok,4.10
It180,SNK-TKS,"Tavuk Kanat","Atıştırmalıklar",Yok,7.20
It181,SNK-KTB,"Köfte Burger","Atıştırmalıklar",Yok,7.50
It182,SNK-BKR,"Biftekli Sandviç","Atıştırmalıklar",Yok,7.80
It183,SNK-SLP,"Sebzeli Lahmacun","Atıştırmalıklar",Yok,5.90
It184,SNK-BYT,"Beyaz Peynirli Tost","Atıştırmalıklar",Yok,5.10
It185,SNK-YMC,"Yulaflı Muffin","Atıştırmalıklar",Yok,3.30
It186,SNK-MRK,"Meyveli Kek","Atıştırmalıklar",Yok,3.80
It187,SNK-CKKX,"Çikolata Dolgulu Kek","Atıştırmalıklar",Yok,4.10
It188,HDR-SLPX,"Sıcak Salep","Sıcak İçecekler",Orta,3.90
It189,HDR-MNT,"Naneli Latte","Sıcak İçecekler",Orta,4.20
It190,HDR-HNL,"Bal Latte","Sıcak İçecekler",Orta,4.25
It191,HDR-CRD,"Kremalı Dondurma Latte","Sıcak İçecekler",Orta,4.70
It192,CDR-MTC,"Matcha Frappe","Soğuk İçecekler",Orta,4.80
It193,CDR-CRS,"Karamelli Smoothie","Soğuk İçecekler",Orta,4.70
It194,CDR-BNT,"Bounty Milkshake","Soğuk İçecekler",Orta,4.90
It195,CDR-ORJ,"Soğuk Portakal Çayı","Soğuk İçecekler",Orta,3.75
It196,SNK-BLKX,"Balkabaklı Cheesecake","Atıştırmalıklar",Yok,5.40
It197,SNK-TTR,"Tart","Atıştırmalıklar",Yok,4.80
It198,SNK-MFF,"Muffin Mix","Atıştırmalıklar",Yok,3.60
It199,SNK-CBS,"Çilekli Brownie","Atıştırmalıklar",Yok,3.90
It200,SNK-YPR,"Yoğurt Parfe","Atıştırmalıklar",Yok,4.70
